model,country,domain,forecast_horizon,runtime
Chronos-2-small,Lao,Pharmaceutical,6,32
Chronos-2-FT-Full,Lao,Pharmaceutical,1,11806.33333
Chronos-2-FT-Full,Lao,Pharmaceutical,3,1045.233333
Chronos-2-FT-Full,Lao,Pharmaceutical,6,732.0333333
FlowState-R1,Lao,Pharmaceutical,1,11517.5
FlowState-R1,Lao,Pharmaceutical,3,2219.5
FlowState-R1,Lao,Pharmaceutical,6,1589.7
FlowState,Lao,Pharmaceutical,1,5148.8
FlowState,Lao,Pharmaceutical,3,1721.8
FlowState,Lao,Pharmaceutical,6,1435.3
Chronos-bolt-tiny,Lao,Pharmaceutical,1,1004.7
Chronos-bolt-tiny,Lao,Pharmaceutical,3,413.3
Chronos-bolt-tiny,Lao,Pharmaceutical,6,112.3
Chronos-bolt-mini,Lao,Pharmaceutical,1,4214.9
Chronos-bolt-mini,Lao,Pharmaceutical,3,1606.8
Chronos-bolt-mini,Lao,Pharmaceutical,6,235.3
Chronos-bolt-small,Lao,Pharmaceutical,1,20175.6
Chronos-bolt-small,Lao,Pharmaceutical,3,5259.7
Chronos-bolt-small,Lao,Pharmaceutical,6,3042.2
AutoARIMA,Lao,Pharmaceutical,1,36359.4
AutoARIMA,Lao,Pharmaceutical,3,21690.3
AutoARIMA,Lao,Pharmaceutical,6,6430.4
Moirai-2.0-R-small,Lao,Pharmaceutical,1,336243
Moirai-2.0-R-small,Lao,Pharmaceutical,3,78821
Moirai-2.0-R-small,Lao,Pharmaceutical,6,25690.4
